Individual{TOC=15294.40820541257, NV=44}
Individual{TOC=16020.6231981044, NV=36}
Individual{TOC=15907.381306541783, NV=39}
Individual{TOC=16313.696767817702, NV=34}
Individual{TOC=14020.455538845983, NV=57}
Individual{TOC=14239.734881695884, NV=53}
Individual{TOC=14242.535089462437, NV=49}
Individual{TOC=14377.444717183485, NV=48}
Individual{TOC=14570.974846084455, NV=45}
Individual{TOC=15307.398690123155, NV=43}
Individual{TOC=15709.552532136353, NV=42}
Individual{TOC=16740.53832419885, NV=30}
Individual{TOC=16639.38918205988, NV=31}
runTime = 2462587.652145ms
