Individual{TOC=17599.01824826979, NV=36}
Individual{TOC=16810.158687926498, NV=38}
Individual{TOC=16151.861190493833, NV=48}
Individual{TOC=16970.0167449699, NV=37}
Individual{TOC=18168.319680779987, NV=34}
Individual{TOC=16020.439616345966, NV=50}
Individual{TOC=16348.528378343735, NV=45}
Individual{TOC=16628.960136111775, NV=41}
Individual{TOC=16655.686605910192, NV=39}
Individual{TOC=16505.62491131161, NV=42}
Individual{TOC=16216.503675922011, NV=46}
Individual{TOC=16073.061798596198, NV=49}
Individual{TOC=17857.146598729352, NV=35}
runTime = 1695282.147263ms
