Individual{TOC=17369.020237367276, NV=42}
Individual{TOC=20452.757474943563, NV=37}
Individual{TOC=18381.79346025858, NV=40}
Individual{TOC=19421.557910213563, NV=38}
Individual{TOC=14955.897074322742, NV=51}
Individual{TOC=15243.038016617025, NV=45}
Individual{TOC=14282.379573870807, NV=58}
Individual{TOC=14385.95604689041, NV=55}
Individual{TOC=14579.589324967003, NV=52}
Individual{TOC=15064.1995854601, NV=49}
Individual{TOC=15156.912108809389, NV=47}
Individual{TOC=15604.775979004718, NV=44}
Individual{TOC=16264.970836867522, NV=43}
runTime = 1967093.961707ms
