Individual{TOC=15150.253617416507, NV=33}
Individual{TOC=14139.768800735566, NV=40}
Individual{TOC=15283.107316962174, NV=32}
Individual{TOC=14236.427596308293, NV=39}
Individual{TOC=15577.387172679515, NV=30}
Individual{TOC=13456.102579601138, NV=50}
Individual{TOC=13936.992780841421, NV=44}
Individual{TOC=14106.20566386157, NV=41}
Individual{TOC=14271.428041046838, NV=38}
Individual{TOC=14418.060313317896, NV=36}
Individual{TOC=14663.162431165947, NV=34}
Individual{TOC=15301.10437048256, NV=31}
Individual{TOC=15659.29162640095, NV=29}
Individual{TOC=14041.608075724083, NV=42}
runTime = 2069199.332565ms
