Individual{TOC=15098.601350139306, NV=45}
Individual{TOC=14311.930874834494, NV=49}
Individual{TOC=15610.4505162842, NV=44}
Individual{TOC=16865.164094901404, NV=39}
Individual{TOC=14094.66094697558, NV=54}
Individual{TOC=14232.72504629745, NV=51}
Individual{TOC=14346.002301656823, NV=48}
Individual{TOC=14705.932432889816, NV=46}
Individual{TOC=15748.416457015395, NV=43}
Individual{TOC=16011.372474596817, NV=42}
Individual{TOC=16190.429174190178, NV=41}
Individual{TOC=16564.2950224293, NV=40}
runTime = 2247733.136425ms
