Individual{TOC=17109.983242175174, NV=63}
Individual{TOC=17177.5927131047, NV=57}
Individual{TOC=18223.398764654423, NV=45}
Individual{TOC=23119.356651119168, NV=35}
Individual{TOC=18265.583584147575, NV=44}
Individual{TOC=18572.68019339756, NV=40}
Individual{TOC=17813.255305178922, NV=50}
Individual{TOC=18821.260479736946, NV=39}
Individual{TOC=18895.09936269217, NV=38}
Individual{TOC=18444.45794942896, NV=42}
Individual{TOC=16142.29319426511, NV=103}
Individual{TOC=16212.590542526794, NV=98}
Individual{TOC=16223.202255328957, NV=85}
Individual{TOC=16397.056481836837, NV=78}
Individual{TOC=16609.354371994126, NV=73}
Individual{TOC=16736.487066018726, NV=71}
Individual{TOC=17931.448914122768, NV=49}
Individual{TOC=17543.48614862023, NV=53}
Individual{TOC=17520.362949153445, NV=56}
Individual{TOC=18956.866427371806, NV=37}
Individual{TOC=18169.353854295623, NV=46}
runTime = 2378595.528577ms
