Individual{TOC=14766.173704784627, NV=40}
Individual{TOC=16748.376528480276, NV=33}
Individual{TOC=13722.382690044804, NV=53}
Individual{TOC=14496.010788773465, NV=44}
Individual{TOC=17997.652013937746, NV=29}
Individual{TOC=15113.677597133996, NV=37}
Individual{TOC=15024.638686734412, NV=38}
Individual{TOC=15153.082003973039, NV=36}
Individual{TOC=15255.547452743005, NV=35}
Individual{TOC=13579.45505748531, NV=73}
Individual{TOC=13694.422596617951, NV=55}
Individual{TOC=13793.06076491517, NV=51}
Individual{TOC=14013.475512491423, NV=47}
Individual{TOC=14248.666763655376, NV=45}
Individual{TOC=14980.076693440456, NV=39}
Individual{TOC=17275.075708958633, NV=32}
Individual{TOC=17637.73289335298, NV=31}
runTime = 2066624.6531ms
