Individual{TOC=18609.029848067476, NV=39}
Individual{TOC=17990.58704475512, NV=41}
Individual{TOC=17612.066375308226, NV=46}
Individual{TOC=18259.49208017805, NV=40}
Individual{TOC=17924.81390918405, NV=42}
Individual{TOC=19618.586169591705, NV=33}
Individual{TOC=17792.2188757091, NV=44}
Individual{TOC=20003.85306827799, NV=31}
Individual{TOC=18824.740070301938, NV=37}
Individual{TOC=17543.64820651657, NV=47}
Individual{TOC=18919.51747406824, NV=35}
Individual{TOC=19732.50358591821, NV=32}
Individual{TOC=16345.226276626534, NV=76}
Individual{TOC=16501.645278469776, NV=66}
Individual{TOC=16605.788507783363, NV=61}
Individual{TOC=16707.552405697905, NV=57}
Individual{TOC=17389.547530184846, NV=50}
Individual{TOC=19566.26217034693, NV=34}
Individual{TOC=16870.734606188616, NV=52}
runTime = 2431199.818925ms
