Individual{TOC=15977.397518894755, NV=49}
Individual{TOC=15703.494059895482, NV=56}
Individual{TOC=16047.205348723397, NV=48}
Individual{TOC=16074.080801065964, NV=46}
Individual{TOC=18446.84839303982, NV=36}
Individual{TOC=15663.99232211823, NV=59}
Individual{TOC=15788.037833184851, NV=53}
Individual{TOC=16118.974376039301, NV=42}
Individual{TOC=16447.361308234453, NV=40}
Individual{TOC=18159.848665600723, NV=38}
Individual{TOC=19354.962242508678, NV=33}
Individual{TOC=18582.688452573802, NV=34}
runTime = 2242883.901026ms
