Individual{TOC=19874.698576118426, NV=39}
Individual{TOC=19675.672539843046, NV=40}
Individual{TOC=16953.223366042243, NV=46}
Individual{TOC=21379.003491051408, NV=35}
Individual{TOC=22237.514816064955, NV=33}
Individual{TOC=22474.02699299494, NV=32}
Individual{TOC=23023.124030367133, NV=30}
Individual{TOC=22631.684505896003, NV=31}
Individual{TOC=16178.84807610758, NV=56}
Individual{TOC=16240.742461674527, NV=54}
Individual{TOC=16352.626919452277, NV=51}
Individual{TOC=16676.544146411317, NV=48}
Individual{TOC=17390.27774558802, NV=44}
Individual{TOC=17875.90301316796, NV=42}
Individual{TOC=25056.415884111688, NV=29}
Individual{TOC=20576.06301870096, NV=37}
runTime = 1730965.541121ms
