Individual{TOC=4542.145642232628, NV=19}
Individual{TOC=5231.903975799062, NV=12}
Individual{TOC=4650.3792920172555, NV=16}
Individual{TOC=6439.088938812876, NV=9}
Individual{TOC=4537.451378345798, NV=20}
Individual{TOC=5446.487270221177, NV=10}
Individual{TOC=4981.1303154767975, NV=13}
Individual{TOC=4652.427507237018, NV=15}
Individual{TOC=4868.302049493185, NV=14}
Individual{TOC=4583.233579217764, NV=17}
Individual{TOC=5303.463632474352, NV=11}
Individual{TOC=4579.93888363379, NV=18}
runTime = 2484194.299567ms
