Individual{TOC=15113.187752152326, NV=42}
Individual{TOC=14447.164494834708, NV=75}
Individual{TOC=14559.554233398372, NV=60}
Individual{TOC=16212.252833477502, NV=33}
Individual{TOC=14714.017001628767, NV=51}
Individual{TOC=14929.829460395289, NV=45}
Individual{TOC=14934.782863299928, NV=44}
Individual{TOC=14419.727335519232, NV=76}
Individual{TOC=15405.510343861959, NV=34}
Individual{TOC=15143.846128241754, NV=39}
Individual{TOC=14651.329077571829, NV=56}
Individual{TOC=15238.470111989614, NV=37}
Individual{TOC=15378.953779853888, NV=35}
Individual{TOC=14590.173565757997, NV=58}
Individual{TOC=14675.840561078394, NV=53}
Individual{TOC=14760.500360730673, NV=47}
Individual{TOC=17037.754507541078, NV=32}
Individual{TOC=15303.38709818233, NV=36}
Individual{TOC=15049.767465474359, NV=43}
runTime = 2570685.851365ms
