Individual{TOC=13702.359723133757, NV=66}
Individual{TOC=13729.483768078528, NV=64}
Individual{TOC=14628.527780579743, NV=39}
Individual{TOC=14254.110427110443, NV=48}
Individual{TOC=14684.460062573318, NV=38}
Individual{TOC=13887.253716105564, NV=60}
Individual{TOC=14028.108998798412, NV=57}
Individual{TOC=14102.823182857299, NV=54}
Individual{TOC=14160.744165428403, NV=52}
Individual{TOC=14329.70224837404, NV=44}
Individual{TOC=14447.08885447362, NV=43}
Individual{TOC=15917.783797672917, NV=32}
Individual{TOC=14773.493462689683, NV=35}
Individual{TOC=14767.345478840496, NV=37}
Individual{TOC=14509.78109423059, NV=41}
Individual{TOC=15140.450788264781, NV=33}
Individual{TOC=14539.979709360114, NV=40}
Individual{TOC=16761.378508789487, NV=31}
runTime = 1707760.242182ms
