Individual{TOC=15881.924156881782, NV=37}
Individual{TOC=15721.39320081264, NV=38}
Individual{TOC=16233.337528737657, NV=36}
Individual{TOC=14871.921435176491, NV=44}
Individual{TOC=14954.252007615414, NV=43}
Individual{TOC=14818.841883910036, NV=47}
Individual{TOC=14868.611235795477, NV=45}
Individual{TOC=15067.955617477257, NV=40}
Individual{TOC=15001.113547707257, NV=42}
Individual{TOC=14780.36767281914, NV=49}
Individual{TOC=14730.378868787724, NV=51}
Individual{TOC=15385.133409707634, NV=39}
runTime = 1945343.083867ms
