Individual{TOC=15764.873437170434, NV=45}
Individual{TOC=16127.586891875082, NV=42}
Individual{TOC=15881.80466199195, NV=44}
Individual{TOC=16113.665837548591, NV=43}
Individual{TOC=15567.727319760641, NV=49}
Individual{TOC=16753.681766539812, NV=36}
Individual{TOC=16466.016815732386, NV=38}
Individual{TOC=16527.717381032395, NV=37}
Individual{TOC=14948.82909452073, NV=60}
Individual{TOC=15435.903295127851, NV=51}
Individual{TOC=15662.724761753072, NV=48}
Individual{TOC=16212.51343592919, NV=41}
Individual{TOC=16282.429349932449, NV=39}
Individual{TOC=15667.535348249608, NV=46}
Individual{TOC=15271.390054058453, NV=54}
Individual{TOC=17482.989132976927, NV=35}
Individual{TOC=15360.8433339374, NV=53}
runTime = 1853578.770051ms
